Period(sec),c,Vc(m/s),Vref(m/s),f1,f3,f4,f5
-1,-0.8400,1300.00,760,0,0.1,-0.1000,-0.00844
0,-0.6000,1500.00,760,0,0.1,-0.1500,-0.00701
0.01,-0.6037,1500.20,760,0,0.1,-0.1483,-0.00701
0.02,-0.5739,1500.36,760,0,0.1,-0.1471,-0.00728
0.022,-0.5668,1500.68,760,0,0.1,-0.1477,-0.00732
0.025,-0.5552,1501.04,760,0,0.1,-0.1496,-0.00736
0.029,-0.5385,1501.26,760,0,0.1,-0.1525,-0.00737
0.03,-0.5341,1502.95,760,0,0.1,-0.1549,-0.00735
0.032,-0.5253,1503.12,760,0,0.1,-0.1574,-0.00731
0.035,-0.5119,1503.24,760,0,0.1,-0.1607,-0.00721
0.036,-0.5075,1503.32,760,0,0.1,-0.1641,-0.00717
0.04,-0.4906,1503.35,760,0,0.1,-0.1678,-0.00698
0.042,-0.4829,1503.34,760,0,0.1,-0.1715,-0.00687
0.044,-0.4757,1503.13,760,0,0.1,-0.1760,-0.00677
0.045,-0.4724,1502.84,760,0,0.1,-0.1810,-0.00672
0.046,-0.4691,1502.47,760,0,0.1,-0.1862,-0.00667
0.048,-0.4632,1502.01,760,0,0.1,-0.1915,-0.00656
0.05,-0.4580,1501.42,760,0,0.1,-0.1963,-0.00647
0.055,-0.4479,1500.71,760,0,0.1,-0.2014,-0.00625
0.06,-0.4419,1499.83,760,0,0.1,-0.2066,-0.00607
0.065,-0.4395,1498.74,760,0,0.1,-0.2120,-0.00593
0.067,-0.4395,1497.42,760,0,0.1,-0.2176,-0.00588
0.07,-0.4404,1495.85,760,0,0.1,-0.2232,-0.00582
0.075,-0.4441,1494.00,760,0,0.1,-0.2287,-0.00573
0.08,-0.4502,1491.82,760,0,0.1,-0.2337,-0.00567
0.085,-0.4581,1489.29,760,0,0.1,-0.2382,-0.00563
0.09,-0.4673,1486.36,760,0,0.1,-0.2421,-0.00561
0.095,-0.4772,1482.98,760,0,0.1,-0.2458,-0.00560
0.1,-0.4872,1479.12,760,0,0.1,-0.2492,-0.00560
0.11,-0.5063,1474.74,760,0,0.1,-0.2519,-0.00562
0.12,-0.5244,1469.75,760,0,0.1,-0.2540,-0.00567
0.13,-0.5421,1464.09,760,0,0.1,-0.2556,-0.00572
0.133,-0.5475,1457.76,760,0,0.1,-0.2566,-0.00574
0.14,-0.5603,1450.71,760,0,0.1,-0.2571,-0.00578
0.15,-0.5796,1442.85,760,0,0.1,-0.2571,-0.00585
0.16,-0.6005,1434.22,760,0,0.1,-0.2562,-0.00591
0.17,-0.6225,1424.85,760,0,0.1,-0.2544,-0.00597
0.18,-0.6449,1414.77,760,0,0.1,-0.2522,-0.00602
0.19,-0.6668,1403.99,760,0,0.1,-0.2497,-0.00608
0.2,-0.6876,1392.61,760,0,0.1,-0.2466,-0.00614
0.22,-0.7243,1380.72,760,0,0.1,-0.2432,-0.00626
0.24,-0.7565,1368.51,760,0,0.1,-0.2396,-0.00638
0.25,-0.7718,1356.21,760,0,0.1,-0.2357,-0.00644
0.26,-0.7870,1343.89,760,0,0.1,-0.2315,-0.00650
